Unnamed: 0,A_Thiazide_Diuretic,A_Beta_Blocker,A_ARB,A_CCB,A_ACE
49,0.9958997295380788,0.9930480199825612,0.9929592167809892,0.9972484438363772,0.9954851491241266
50,0.9963047071594816,0.9923118595778636,0.9958404627133226,0.9983680523600312,0.9950293989824424
51,0.99690382105796,0.9873266511621244,0.9940851374027796,0.9938079779582673,0.9944964780468996
52,0.9867659040958008,0.9915940078320248,0.9982076805344834,0.9939893918083332,0.9963839667800306
53,0.9936480356396176,0.9930497974613798,0.9944715888535356,0.99525459328537,0.9959347733582012
54,0.9957283099911186,0.9936131989232118,0.9969681756168812,0.9948430780976728,0.9954550417317236
55,0.9932635357485584,0.9922660720125992,0.9990221748322684,0.9956398796452351,0.9973988268335972
56,0.9921575863959948,0.990079060486752,0.9949467579682102,0.9952494877363924,0.9964169523121996
57,0.99675613036378,0.9925982036852488,0.9978087679255876,0.992511755128832,0.9956466315979359
58,0.992367863456788,0.9893852627869228,0.9954132357071812,0.9970600954600288,0.9952325406035938
59,0.9916475939685504,0.991028176422322,0.9967323386092048,0.9962665755357828,0.9946266789363764
60,0.9940697931597181,0.9926479213369158,0.9982076790894796,0.9972270363186808,0.996043492958506
61,0.9923852966963224,0.9919498858922248,0.9960186174499008,0.9951058535190004,0.9952236101591588
62,0.9962024751686708,0.991547092491566,0.9950129179646175,0.9954607415369504,0.9955826869469976
63,0.9963419022648003,0.9918684035438462,0.9949373171688779,0.9955257686629779,0.995410285871984
64,0.9959479001863979,0.9897969469624778,0.9975775064493848,0.9946105608586964,0.9944760891832536
65,0.9939697901427732,0.9892842396220268,0.9919105234899416,0.995041910349466,0.9970572878498444
66,0.9937594163940501,0.991976011032577,0.9960965886460864,0.9924652747918684,0.9945261274046214
67,0.9960247044106189,0.9935141815120208,0.9956740405581036,0.9927409689358004,0.9949516140835416
68,0.9954521995628264,0.9922223874672064,0.9950796590970822,0.9938272906519612,0.9955998642673296
69,0.9914549918551074,0.9905822743315033,0.9925930020303458,0.9960488007792728,0.9963570538929392
70,,0.9908805046146776,0.9969925494015852,0.9934539176833832,0.9951939498212794
71,0.98535279452053,0.9898593221421308,0.9973360427030388,0.9933059206690378,0.9941593029458116
72,0.9917713478939644,0.9912529295667868,0.994961070259468,0.9954113275552606,0.9964678712238262
73,0.9954206469988559,0.9907452610843276,0.9979521806579372,0.9962624108240734,0.9964584368583879
74,0.9941959417475924,0.9898014807836164,0.9955025208965472,0.9978025033607174,0.995281507001889
75,0.9909810507296479,0.9880290262940736,0.9950499509299404,0.997334945855912,0.9945799652980024
76,0.9901279424937214,0.9917803992553924,0.9966892831651478,0.9942988490446576,0.9955490905317956
77,0.986801950531298,0.9916367059006423,0.9971366620603874,0.9951219230479952,0.996031702570652
78,0.994559404934832,0.9948142213063176,,0.9932923593919722,0.9950266050428702
79,0.992585197328302,0.9926615091457064,0.9942191075974748,0.9943540150526604,0.9944298374861256
80,0.9916499992533984,0.9912519466374404,0.9935639848066652,0.9955029777606405,0.995425337850547
81,0.9909973244799682,0.991399297204338,0.9942219599862482,0.9950207700657068,0.9967778204608894
82,0.9929896949520072,0.991818827994534,0.996298934161838,0.9972451772891928,0.9955125857709528
83,0.9937936796055404,0.9926081586520272,0.9934177766370368,0.9965696596599446,0.9973876453160598
84,0.9912262556451932,0.9909071465893896,0.9927337342979718,0.9954469787744068,0.9933531104808492
85,0.9933497163259379,0.9913192455211136,0.9943410683067664,0.9965284788985358,0.9949385931424554
86,0.996323824533994,0.9930783483223335,0.9952851071483894,0.9959412992477016,0.9948149303566808
87,0.993102800126796,0.9933184044291641,0.9982686444138928,0.9948708072593108,0.9963099096276659
88,0.9930056542814848,0.9909781093138614,0.9957859594321302,0.9977559698234864,0.9963235044335984
89,0.9967339271395812,0.9919535144615176,0.9981266754479804,0.997003913875396,0.997372307099624
90,0.9935076035560444,0.9898667458266959,0.9934314169958666,0.9961503162672783,0.996401394662762
91,0.9915609668851272,0.9911537337455474,0.9978924911889218,0.9932152421215216,0.9963172817354145
92,0.9925537527046321,0.9897823003181082,0.9964055693555688,0.9934697306692482,0.9943621619271981
93,0.9910293294030986,0.9911832056218756,0.9977865371477759,0.9954582013340616,0.995610281260618
94,0.9875264946116632,0.9915267085811068,0.9948118812875808,0.9940200928659556,0.9942833652533588
95,0.9956903863831272,0.9917325306773306,0.9969042558257364,0.9971107133869817,0.9971397398246504
96,0.9949176453240812,0.9900949920822298,0.9955988734573484,0.9956899237541958,0.9947503250273508
97,0.9970565649163128,0.9891205334024566,0.994238482297098,0.9932048706478854,0.9960460670717296
98,0.99299548485573,0.991309536103625,0.9945149671811668,0.9965078811629952,0.9965355277121988
99,0.9941731457970524,0.9925695987291414,0.9959385472886104,0.9937232994461986,0.9945897622646059
