Unnamed: 0,A_ACE,A_ARB,A_CCB,A_Beta_Blocker,A_Thiazide_Diuretic
22,0.9967106003869082,0.9988617553367448,0.996510340737288,0.9976580158224266,0.9972721010135244
23,0.9966254145555868,0.9999999999943842,0.9973772499021824,0.9982547520876592,0.9982763017826388
24,0.9954697473200408,0.9946888210333936,0.9970672521188064,0.9964198753531326,0.9989072177440316
25,0.9959032098765516,0.9958772769983464,0.9961113046985745,0.9983994880752334,0.9976989682248928
26,0.9957944683380682,0.997213237145256,0.9968547374480932,0.9963112728660848,0.9974813017639642
27,0.9956992399633456,0.9975272402197696,0.9974925845369244,0.9970290033649876,0.99714152991191
28,0.9957703162620634,0.9977977164064497,0.9962805055403012,0.9954004962060358,0.9969794011306756
29,0.9959926399711804,0.9957223777027616,0.9936295059294824,0.9973130560435266,0.9974053618025538
30,0.996695969611035,0.9984951966350906,0.9954767594608817,0.9953831335173786,0.9971146406448872
31,0.9965232565282964,0.9972022944214056,0.9981109719927496,0.9960303586254462,0.9968110593164452
32,0.995937653646282,0.9986186313615496,0.997537751800463,0.995629817816534,0.9970617006830113
33,0.9964951784419056,0.9965092259296646,0.996887476233687,0.9952028567325004,0.9992464129194704
34,0.99646011738067,0.9977788223616628,0.9936627371227909,0.9986561865763892,0.9961685711022936
35,0.9958563095473792,0.9967930308413034,0.9990899098643204,0.9964445084717696,0.99879584433339
36,0.9957561645038424,0.9941372212593488,0.9977008213362648,0.9964835852958379,0.997269214194638
37,0.994473501180002,0.9980028073919862,0.9985549364550774,0.9973748802468284,0.9980399947783238
38,0.9962653390484836,0.9941053762139304,0.9959720642577536,0.9972122168892732,0.9987340094165328
39,0.996528384060061,0.9988248796458918,0.9986615451793076,0.9964097008897193,0.9976632267932422
40,0.9965836110784176,0.9954837930810679,0.9958940261598224,0.9951753638077708,
41,0.9969098019006228,0.9965145670514596,0.9986089798189438,0.9971011660828688,0.9974015629792792
42,0.9960513851025083,0.9978134571449568,0.9951729126455154,0.9948130840875248,0.9992116998311956
43,0.9965416924051604,0.9976791431147756,0.9963996138653162,0.9957066674065156,0.9979663051468374
44,0.9960123960091763,0.9977597224561764,0.9977008119992944,0.9974155166814772,0.9972243628101708
45,0.9947239399203776,0.9965767812972856,0.9957892292204494,0.9966786682753872,0.9989030455757248
46,0.9963334783933936,0.9973841086415718,0.9941918719345332,0.9962095218365524,0.9990027864904216
