Unnamed: 0,A_ARB,A_Thiazide_Diuretic,A_CCB,A_ACE,A_Beta_Blocker
25,0.9998391911508964,1.0,0.9996585236816756,0.9993486207973288,0.9997647172404092
26,0.9999999999985476,0.9999999999982844,0.9984697639582584,1.0,0.9997915704269684
27,0.9997203521113156,0.9999999999925756,0.999056130854886,0.9999159859556644,0.9999999999878576
28,0.999865528939202,0.9998667023533684,0.999706514893948,0.999852145299864,0.9999123533232456
29,0.9997469781601858,1.0,,1.0,0.9998225279464308
30,0.9999999999954028,0.9999999999919741,0.9999999999934692,0.9993539451430121,0.9998072282456626
31,0.9999999999949828,0.9998833102323436,0.9995802238915692,0.9997867994904142,0.9998573066589022
32,0.9998558485977476,0.9998314611476704,0.9999999999973942,0.9997655308900228,0.9996151576541752
33,0.9999304058561512,0.9998790003953524,0.9994431976703598,0.999886290255027,0.9995665443103484
34,0.9999999999938466,0.9999999999971324,0.9988655043562116,0.9997433533853112,0.9999999999916572
35,0.9999999999954344,1.0,,0.9997226433528499,0.99985693861607
36,0.9998712185248888,0.9999326774126418,0.9994536859493696,0.9999361515173378,0.9999999999947382
37,0.9998929740189968,0.9999164502929206,0.9999999999967936,0.9997293128759858,0.9997927906810208
38,0.9999999999891334,0.9998377163812712,0.9999999999965452,0.9996573890022658,0.9996545279739596
39,0.9997701478800244,0.9997439163402642,0.9996098236996828,0.9997760878871104,0.9999999999947484
40,0.9996602730048292,0.9998554458087272,0.9995842794072428,0.999616447327096,0.9998497902805282
41,0.9999168521839558,0.9998797201019024,0.9990605425531324,0.9996076195964402,0.9998172274096048
42,0.9998227849850906,0.9999999999972478,0.9999999999944202,0.9998700718347552,0.99990526324633
43,0.9999999999983924,0.9998318285351808,1.0,0.9997868356186841,0.999843684796412
44,0.9998524794456128,0.9999999999921622,0.999065001165639,0.9996188869108183,0.9998856147941128
45,0.9996142346733462,0.9998761913566468,0.9994435139642368,0.9995772355255456,0.9997399509139866
46,0.9999999999965818,0.9996757082127392,0.999999999996986,0.9998089511002304,0.9999999999960758
47,0.9999999999955452,0.9997975653434794,0.998770989459882,0.9998761148326782,0.9997593092925235
48,0.9999999999923644,0.9998396941904534,0.9999999999928992,0.9998085162107068,0.9997921793001824
49,0.9999999999969916,0.9999999999958206,0.9987467629610088,0.9999096078349728,0.9997671764930648
50,0.9999999999969684,0.9999999999983834,0.9997382939610652,0.9992876968216968,0.9997871720403954
51,0.9997110860233712,0.9999437865501516,0.9994619843091572,0.9996707208687312,0.999800107505657
52,0.9999999999969994,0.9999999999983996,0.9996704695006756,0.9994819814380144,0.9997603678573176
53,0.9999437535531528,0.9999999999982124,0.999999999999442,0.9997584088142945,0.9997111612508784
54,0.9999223109489912,0.999937497790322,0.9995590388905398,0.9994447387437072,0.9998996400380934
55,0.9998707228036514,0.9998099146403396,0.9999999999933822,0.9992521780658128,0.9997212698481738
56,0.9997612809096996,1.0,0.9985562897657512,0.9998480292437552,0.9999999999928126
57,0.9998751537227478,0.999846219518812,0.9995557465403662,0.9996007800572304,0.9998722075473028
58,0.9999999999985416,0.999830161803558,0.9994576266205774,0.9999321785093668,0.99989324031349
59,0.9996130013369858,0.9999619054328092,0.9995946030837172,0.9996521231780341,0.9997892088880702
60,0.9999151615147099,0.9998984501236678,0.9994595615305382,0.9999348589908182,0.9998486844746812
61,0.9997878120756952,0.9999999999939516,1.0,1.0,0.9999999999976282
62,0.9995696959143352,0.9999999999922224,0.9995793454343193,0.9998600154278956,0.9999127691578186
63,0.9999999999965165,0.9999999999933852,0.9988204327739664,0.9995251544566552,0.9997260152975112
64,0.9997839642547124,0.9999999999909992,0.9995915306554252,0.9995878964181552,0.999766365430528
65,0.9998897120871592,0.999931919581614,0.9995157264826582,0.9996210077002398,0.999913596076345
66,0.9999999999988494,0.9999593113262136,0.9991548040313726,0.9994645756769908,0.9999999999953879
67,0.9999036714998644,0.9999435934194342,0.999486281430611,0.9998234615479428,0.9999486903949444
68,0.9998468711766554,0.9998679389162256,0.9994064943102206,0.9998557608627052,0.9996584323001008
69,0.999999999995293,0.9999019489727564,0.999532940047364,0.9997063520716511,0.9998826135249376
70,0.9997638812139344,0.9998619928138036,0.9999999999983579,0.9996643951588756,0.9999561934237834
71,0.9998491659677164,0.9999078586769706,,0.9999114269846816,0.9997669270426421
72,0.9996989267116076,0.9998875252468954,0.9995694452258348,0.9999301068306834,0.9998413486118074
73,0.9998592317576094,0.9997268693657232,0.9995099600939734,0.9997728032625504,0.9998440679692958
74,0.9998764695580022,0.9999573394034164,0.9996050875058702,0.9997599145517732,1.0
75,0.9999999999905294,0.999999999994014,,0.9999401618367034,0.9997362535060164
76,0.9998582437690484,0.9997876545107296,0.9993464157321128,0.9996859966982926,0.99999999999667
77,0.9999999999984795,0.9998172951889178,0.9994104415939856,0.9995151126003079,0.999999999991785
78,0.9999999999924184,1.0,0.9996079604777408,0.9998187848466896,0.9998117718803669
79,0.9999999999951701,0.9999999999964164,0.9987424121519396,0.9997638955852076,0.9998068498186412
80,0.9996626042162746,1.0,0.9985657488235036,0.9997400282159286,0.9996760523851312
81,0.999999999998332,0.9999999999983702,0.9994449638779741,0.9995181621873952,0.9997809607468556
82,0.9999383633845076,0.9999999999977084,0.9989764132819874,0.9997717193964902,0.9999347802948112
83,0.999832187314196,1.0,,0.9995265173102966,0.9997827027660466
84,0.9999314335071566,0.9999999999966882,0.9990422632255592,0.9996327403212142,0.9997579191777248
85,0.9997877929001862,0.9999999999961382,0.9964280756190022,0.9997924310307792,1.0
